	Description	Category
7048	Оплата за Крем чистящий Cif Актив Лимон универсальный для кухни и ванной 100% удаление грязи 500мл по счету 62634055600901922810 от 22/10/2024г. Сумма 530.00	NON_FOOD_GOODS
7049	Оплата за Контейнер Liberhaus для продуктов герметичный 500мл в ассортименте по счету 16825999004827091074 от 21 мая 2027 г. Сумма 1890-00	NON_FOOD_GOODS
7050	Счет на оплату № 0133 от 08.08.2027г.МКР для фильтрпресса. Сумма 22800,00В т.ч. НДС(20%) 3800,0	NON_FOOD_GOODS
7051	Оплата за Грунт Seasons универсальный 10л по счету 04508019699375364564 от 06.04.2025 г. Сумма 4610,00	NON_FOOD_GOODS
7052	Оплата за Печень цыпленка Петелинка охлажденная 500г по счету 35812104366353113714 от 17/09/2028 Сумма 3440.00	NON_FOOD_GOODS
7053	Оплата за Палочки ватные Pupi 160шт по счету 24221848572317531095 от 03 июля 2028 г. Сумма 2670-00	NON_FOOD_GOODS
7054	Оплата аванса за ГСМ по счету А-0015 от 28.08.2024г. к Договору №01860Г от 24 октября 2025. на сумму 2400000-00В т.ч. НДС(20%) 400000-00	NON_FOOD_GOODS
7055	ПРЕДОПЛАТА ПО ДОГ. №В02510 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 2290000.00 в т.ч.НДС  381666.66	NON_FOOD_GOODS
7056	Оплата за Рукав для запекания Econta, 3м по счету 77726414043258481786 от 14.09.2025 г. Сумма 2450.00	NON_FOOD_GOODS
7057	Оплата за Для мытья посуды по счету 62551936149895471061 от 29 сентября 2025 Сумма 4380,00	NON_FOOD_GOODS
7058	Оплата за Свеча Kukina Raffinata чайная 6шт. по счету 55258939888403522458 от 14.03.2026г. Сумма 4310.00	NON_FOOD_GOODS
7059	Оплата за Средство чистящее Бреф Сила-Актив Лимонная свежесть для унитаза 2х50г по счету 35346243158961691078 от 24.03.2025г. Сумма 3180,00	NON_FOOD_GOODS
7060	Оплата за Конфеты Рот Фронт Батончики 250г по счету 51969010117900752124 от 26 июня 2028 Сумма 2880-00	NON_FOOD_GOODS
7061	Оплата за консультирование в сфере информационных технологий по договору №В-04791/75 от 03 октября 2023г	NON_FOOD_GOODS
7062	Оплата за Набор Bodyart бомбочек для ванн 360г по счету 32425787319349224434 от 12 октября 2025 Сумма 4900-00	NON_FOOD_GOODS
7063	Оплата по Договору №Д00004/30 от 15.07.2023 г.за бухгалтерское сопровождение в счет задолженности	NON_FOOD_GOODS
7064	Оплата за Копченая рыба по счету 50983688281997199763 от 2027.10.28 Сумма 2150,00	NON_FOOD_GOODS
7065	Оплата аванса за ГСМ по счету А-0080 от 06 апреля 2024 г. к Договору №В02690 от 11 июня 2025 г.. на сумму 510000,00В т.ч. НДС(20%) 85000,0	NON_FOOD_GOODS
7066	Оплата за Сумка Пятерочка хозяйственная из полиэстера по счету 69272500798032674767 от 09.10.2028 г. Сумма 4930.00	NON_FOOD_GOODS
7067	Оплата за Крем-мыло Duru Арбуз с экстрактом алоэ 80г по счету 74466238519771975037 от 20 февраля 2027г Сумма 1590-00	NON_FOOD_GOODS
7068	Оплата за нут,сафлор по счету 0636,0637,0638 от 02.01.2028 г. .Сумма 2590000.00 В т.ч. НДС 20% 431666.66	NON_FOOD_GOODS
7069	Частичная оплата по счету № 0538 от 20.03.2025г за костюмы ФаворитСумма 42800.00В т.ч. НДС(20%) 7133.33	NON_FOOD_GOODS
7070	Оплата за Бумажные платочки и салфетки по счету 35931078307877027486 от 25 июля 2028 г. Сумма 4880.00	NON_FOOD_GOODS
7071	Частичная оплата по счету № 0576 от 10.10.2023 г. за костюмы ФаворитСумма 5200-00В т.ч. НДС(20%) 866-66	NON_FOOD_GOODS
7072	Оплата по Договору №Д01059 от 17.06.2027за бухгалтерское сопровождение в счет задолженности	NON_FOOD_GOODS
7073	Оплата за Игрушка Zebra toys для лепки снежков в ассортименте по счету 96921366425929093727 от 19/12/2023г. Сумма 3960,00	NON_FOOD_GOODS
7074	Оплата за Средство чистящее Econta для сливного бака таблетка по счету 57875753653606029318 от 29.03.2027 Сумма 3660.00	NON_FOOD_GOODS
7075	Оплата за Порошок стиральный Персил Color Свежесть от Vernel 3кг по счету 46151039580432740585 от 05/05/2027г. Сумма 4720-00	NON_FOOD_GOODS
7076	Оплата по договору №08-04565В от 11.01.2028г частичная оплата за картонСумма 8400-00В тч НДС(20%) 1400-00	NON_FOOD_GOODS
7077	Оплата за Батарейки Liberhaus алкалиновые АА 10шт. по счету 75658850962040928848 от 22 апреля 2024 г. Сумма 1700,00	NON_FOOD_GOODS
7078	За юридические услуги по договору №А00257/79 от 28/01/2028	NON_FOOD_GOODS
7079	Оплата по счету 0854,0855,0856 от 21.09.2024г (в рамках договора финансовой аренды 13.073652-БЕ от 01 марта 2024г). В т.ч. НДС(20%) 445000-00	NON_FOOD_GOODS
7080	Оплата за Набор для рассады кассета и торфяные таблетки 12шт d41см по счету 08893224324229577133 от 27 декабря 2024 Сумма 1440.00	NON_FOOD_GOODS
7081	Оплата за Мыло Aucm хозяйственное классическое 72% 150г по счету 29668042804247651941 от 08.07.2028 Сумма 3450.00	NON_FOOD_GOODS
7082	Оплата за Диски ватные Pupi 80шт по счету 07203863443671702357 от 19.04.2023г. Сумма 4920.00	NON_FOOD_GOODS
7083	Оплата по Счету 0064 от 2024.01.22 за возмещаемые расходы Сумма 43900.00 в том числе НДС(20%) 7316.66	NON_FOOD_GOODS
7084	Оплата аванса за ГСМ по счету А-0360 от 2024-03-02 к Договору №163 от 12 января 2024г. на сумму 1760000-00В т.ч. НДС(20%) 293333-33	NON_FOOD_GOODS
7085	Оплата за Кружка Liling Jingtao в ассортименте 340мл 1 шт. по счету 05133182512691117380 от 07.07.2026 Сумма 1060.00	NON_FOOD_GOODS
7086	Оплата за Салфетки Красная цена бумажные 24*24см 100шт по счету 78543836799688712311 от 2024-04-01 Сумма 4380.00	NON_FOOD_GOODS
7087	Оплата за Пена для бритья Endeavor sensitive для чувствительной кожи 200мл по счету 09062188003492169528 от 03 мая 2024г Сумма 1740.00	NON_FOOD_GOODS
7088	Оплата за Средство Grass Azelit Spray для стеклокерамики чистящее для кухни 600мл по счету 25888983734783972649 от 2023-08-01 Сумма 4410.00	NON_FOOD_GOODS
7089	Оплата за Губка для обуви Econta черная 25г по счету 80763835779331529906 от 21 декабря 2025г Сумма 3770-00	NON_FOOD_GOODS
7090	Оплата по дог.финансовой аренды №Е01826 от 21 ноября 2025г, акт приема-передачи 691 от 23.09.2024г. В т.ч. НДС(20%) 621666-66	NON_FOOD_GOODS
7091	Оплата за Крем универсальный EVO Пантенол 46мл по счету 43856679518411179501 от 11.03.2024 Сумма 980.00	NON_FOOD_GOODS
7092	За консультации юриста по договору №55-04261А от 26 июля 2023	NON_FOOD_GOODS
7093	Оплата за Средство Чистин Аромат Сирени чистящее 400г по счету 96301827563331564705 от 2023.10.17 Сумма 690-00	NON_FOOD_GOODS
7094	Оплата за Бритва Gillette Blue II Plus одноразовая 5шт. по счету 97692889423356858125 от 31.10.2026 Сумма 3600,00	NON_FOOD_GOODS
7095	Оплата за Подушечки Любятово с шоколадной начинкой 220г по счету 00280476755946061819 от 26.04.2026 г. Сумма 2720-00	NON_FOOD_GOODS
7096	Оплата обучения по договору №49Д-00561 от 29 августа 2028 г.	NON_FOOD_GOODS
7097	Оплата за Текстиль для дома по счету 84371874671129500159 от 15.11.2025 Сумма 1610,00	NON_FOOD_GOODS
7098	Оплата за Дезодорант - антиперспирант Рексона Женский спрей нежно и сочно 150мл по счету 39784415176212130008 от 18.05.2023г Сумма 2510.00	NON_FOOD_GOODS
7099	За транспортировку, перевозка грузовым транспортом из г. Владивосток в г. Октябрьский по договору №43-03348Д от 2023-01-13	NON_FOOD_GOODS
7100	Оплата по счет-фактуре 0302,0303,0304 от 2028-01-06 за фитинги,метизы.Сумма 30300,00 В т.ч. НДС 20% 5050,0	NON_FOOD_GOODS
7101	Предоплата за автозапчасти по счету 0990 от 16.01.2024 года; Договор №03-01524 от 2023.12.23	NON_FOOD_GOODS
7102	Оплата за Отбеливатель Красная Цена Белизна жидкий 1л по счету 22549278415615086154 от 2025-09-27 Сумма 2560.00	NON_FOOD_GOODS
7103	Оплата по счет-фактуре 0302,0303,0304 от 18/10/2024 за фитинги,метизы.Сумма 22700-00 В т.ч. НДС 20% 3783-33	NON_FOOD_GOODS
7104	Оплата по договору №А04834/09 от 26.08.2028г частичная оплата за картонСумма 30800-00В тч НДС(20%) 5133-33	NON_FOOD_GOODS
7105	Оплата за Гель для стрики Ласка Эффект восстановления цветного 1л по счету 19680985355877648656 от 14.05.2026 Сумма 4440-00	NON_FOOD_GOODS
7106	Оплата по договору №04851Д от 29.02.2024г. сырье для пвадСумма 2940000-00В т.ч. НДС(20%) 490000-00	NON_FOOD_GOODS
7107	За доставку автомобилем из г. Барнаул в г. Элиста по договору №Г-03129/44 от 18.11.2024г.	NON_FOOD_GOODS
7108	Оплата за Набор для рассады кассета и торфяные таблетки 12шт d41см по счету 68528434777048227418 от 01 мая 2027 г. Сумма 2110.00	NON_FOOD_GOODS
7109	Оплата по счетам 0453,0454,0455 от 08.01.2023 г. (за бетон марки М300)Сумма 17600.00 В т.ч. НДС 20% 2933.33	NON_FOOD_GOODS
7110	Оплата по счетам 0354,0355,0356 от 27.06.2024 (за бетон марки М300)Сумма 27100.00 В т.ч. НДС 20% 4516.66	NON_FOOD_GOODS
7111	Оплата за Пакеты Liberhaus для продуктов 26x36см 100шт. по счету 88790435951043769498 от 13.01.2027 Сумма 2520-00	NON_FOOD_GOODS
7112	Оплата по счет-фактуре 0615,0616,0617 от 14/04/2023 за фитинги,метизы.Сумма 43300-00 В т.ч. НДС 20% 7216-66	NON_FOOD_GOODS
7113	Оплата за Крем-мыло Aura Pure Cotton Хлопок и мед 2в1 500мл по счету 79699470961094167562 от 09.02.2023 г. Сумма 2120,00	NON_FOOD_GOODS
7114	Оплата по счетам 0508,0509,0510 от 28.01.2023г. (за бетон марки М300)Сумма 43000-00 В т.ч. НДС 20% 7166-66	NON_FOOD_GOODS
7115	ПРЕДОПЛАТА ПО ДОГ. №22-01250Г за Раствор водный натриевых солей (поли)акриловой кислотыСумма 4850000.00 в т.ч.НДС  808333.33	NON_FOOD_GOODS
7116	Оплата за Щетка Spin&Clean Techno съемный скребок для льда черный по счету 35998598482360877514 от 25.06.2023г. Сумма 2830.00	NON_FOOD_GOODS
7117	Счет на оплату № 0297 от 04 февраля 2027 г.г.МКР для фильтрпресса. Сумма 39400.00В т.ч. НДС(20%) 6566.66	NON_FOOD_GOODS
7118	Оплата за Порошок стиральный Ariel Color automat 3кг по счету 89785944288715703038 от 24.12.2025 Сумма 710.00	NON_FOOD_GOODS
7119	Оплата за Средство Cilit Bang Антижир и сияние 450мл по счету 89767191762181088584 от 11 августа 2025г Сумма 990,00	NON_FOOD_GOODS
7120	Оплата по договору №00495Д от 23/10/2027г. частичная оплата за картонСумма 46600.00В тч НДС(20%) 7766.66	NON_FOOD_GOODS
7121	Оплата по счет-фактуре 0662,0663,0664 от 23 августа 2025 г. за фитинги,метизы.Сумма 13800.00 В т.ч. НДС 20% 2300.0	NON_FOOD_GOODS
7122	Оплата за Средство чистящее Econta для сливного бака таблетка по счету 98958000697049688956 от 15/11/2025 Сумма 1720.00	NON_FOOD_GOODS
7123	Счет на оплату № 0991 от 21.02.2027г.МКР для фильтрпресса. Сумма 15700.00В т.ч. НДС(20%) 2616.66	NON_FOOD_GOODS
7124	Оплата за Элемент питания Liberhaus первичный тип AA 4шт. по счету 38107010198282291843 от 11/12/2024г. Сумма 620.00	NON_FOOD_GOODS
7125	ПРЕДОПЛАТА ПО ДОГ. №04-00972 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 2460000,00 в т.ч.НДС  410000,0	NON_FOOD_GOODS
7126	Оплата за нут,сафлор по счету 0585,0586,0587 от 2023.08.21 .Сумма 2950000-00 В т.ч. НДС 20% 491666-66	NON_FOOD_GOODS
7127	Оплата за Форма Liberhaus для запекания круглая 7779588 в ассортименте по счету 00886456078073450329 от 22/04/2024 Сумма 1450-00	NON_FOOD_GOODS
7128	Оплата аванса за ГСМ по счету А-0819 от 22/01/2024 к Договору №11-00437 от 30 декабря 2024г. на сумму 4800000,00В т.ч. НДС(20%) 800000,0	NON_FOOD_GOODS
7129	Оплата за Салфетки влажные универсальные 80шт. по счету 43714137930427879319 от 23 октября 2024г Сумма 2960,00	NON_FOOD_GOODS
7130	Оплата за ж/д, авиабилеты и проживание по счету 11698598975279941298 от 18.09.2027 г. на основании договора №9-03766/75 от 30.12.2028г.	NON_FOOD_GOODS
7131	Оплата за Кондиционер для белья Вернель Свежий бриз концентрированный 910мл по счету 57536194391592416215 от 07 апреля 2028 г. Сумма 4370.00	NON_FOOD_GOODS
7132	Оплата за запасные части для оборудования по счету №0186 от 13/11/2024; Договор №1-02771/96 от 29.11.2023г.	NON_FOOD_GOODS
7133	Оплата за Конфеты Азовская КФ Сливочные 400г по счету 07759359006426922153 от 09.01.2025 г. Сумма 510-00	NON_FOOD_GOODS
7134	Оплата за насосы по договору №154 от 18 августа 2025 г. (частичная оплата).Сумма 630000,00В тч НДС(20%) 105000,0	NON_FOOD_GOODS
7135	Оплата за Набор Bodyart бомбочек для ванн 360г по счету 23829326137483933040 от 19.07.2026 Сумма 1430-00	NON_FOOD_GOODS
7136	Оплата аванса за ГСМ по счету А-0680 от 09/03/2024г. к Договору №02442Д от 02.01.2024г.. на сумму 1880000,00В т.ч. НДС(20%) 313333,33	NON_FOOD_GOODS
7137	Оплата за Дезодорант Seasons для обуви 100мл по счету 86945003177173707584 от 15/07/2027г. Сумма 2770-00	NON_FOOD_GOODS
7138	Оплата по договору 45.219005-ДА от 17.01.2026г частичная оплата за картонСумма 12800,00В тч НДС(20%) 2133,33	NON_FOOD_GOODS
7139	Оплата по счет-фактуре 0713,0714,0715 от 04 мая 2027г за фитинги,метизы.Сумма 48700.00 В т.ч. НДС 20% 8116.66	NON_FOOD_GOODS
7140	Оплата за Кондиционер для белья ABC Camellia love 1л по счету 66996217784874434749 от 24.12.2023г. Сумма 800.00	NON_FOOD_GOODS
7141	3й лизинговый платеж по договору №Б00314 от 02.02.2023г.. В т.ч. НДС(20%) 300000,0	NON_FOOD_GOODS
7142	За юридические услуги по договору №95-00182В от 08 августа 2027г	NON_FOOD_GOODS
7143	Оплата за Освежитель воздуха Liberhaus Тропический остров 250мл по счету 35022113315328987391 от 18.08.2026г Сумма 1760-00	NON_FOOD_GOODS
7144	Оплата за Освежитель воздуха Glade Свежесть белья 300мл по счету 15050803011221698825 от 2024-05-28 Сумма 4250-00	NON_FOOD_GOODS
7145	Оплата за Порошок стиральный Персил Color Свежесть от Vernel 3кг по счету 11794071141698114924 от 13.01.2025 г. Сумма 580-00	NON_FOOD_GOODS
7146	Оплата за Средство Дихлофос Универсал+ от летающих и ползающих насекомых инсектицидное 200мл по счету 05286079782048398183 от 30/11/2024 Сумма 500,00	NON_FOOD_GOODS
7147	Оплата за Суперклей Liberhaus гель 3г по счету 41550405807055849093 от 2023.07.24 Сумма 3800,00	NON_FOOD_GOODS
7148	Оплата за Набор подарочный Lure Hand Care Bio-крем Питательный для рук 40мл + Bio-крем Ночной для рук 40мл по счету 48754089697254193172 от 02.01.2028 Сумма 2530.00	NON_FOOD_GOODS
7149	Оплата за Салфетки Tolli Classic бумажные универсальные в ассортименте 100шт. по счету 80310608020463961306 от 19.02.2027 г. Сумма 980.00	NON_FOOD_GOODS
7150	За оказание услуг по договору №Е-00619/16 от 2023.08.28	NON_FOOD_GOODS
7151	Оплата за Жидкость моющая Mr.Proper Лимон для полов и стен 500мл по счету 57529376900905028287 от 28.09.2025 Сумма 2010.00	NON_FOOD_GOODS
7152	Оплата за Салфетки Econta универсальные в рулоне 30х25см 100шт по счету 06932823576999374008 от 02 апреля 2024 Сумма 2100-00	NON_FOOD_GOODS
7153	За покупку авиабилетов г. Старый Оскол - г. Волгодонск по договору №3-04100/83 от 12.08.2025 г.	NON_FOOD_GOODS
7154	Предоставление кредита по договору №А00413/98 от 09.08.2028 г. (нецелевой кредит)	NON_FOOD_GOODS
7155	Оплата за Гель для стирки Персил Sensitive Алоэ Вера 1.3л по счету 16320861859453216173 от 21.08.2028 г. Сумма 3940-00	NON_FOOD_GOODS
7156	Оплата за Аэрозоль Mosquitall Профессиональная защита от всех насекомых 150мл по счету 72951797694372040478 от 09.12.2025 г. Сумма 2460,00	NON_FOOD_GOODS
7157	{Г516940}3ачисление средств на текущий счет на основании Распоряжения о списании ин.валюты с трансферного счета 36594445138558702210	NON_FOOD_GOODS
7158	Оплата за запчасти по договору поставки №88Е-00743 от 10/07/2024г. (ГБД 0784 АО Автодом Ауди по счету №0925	NON_FOOD_GOODS
7159	Оплата по счету 0669,0670,0671 от 26/06/2024г. (в рамках договора финансовой аренды №21Г-01683 от 19 января 2025г). В т.ч. НДС(20%) 173333.33	NON_FOOD_GOODS
7160	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №6-01533/46	NON_FOOD_GOODS
7161	Оплата за Печень говяжья замороженная по счету 51552681819636512462 от 12.06.2027г. Сумма 3070-00	NON_FOOD_GOODS
7162	Оплата за Крем Бархатные ручки Питательный для рук с маслом ши 80мл по счету 00165840663715768406 от 29.09.2024г Сумма 3160-00	NON_FOOD_GOODS
7163	Оплата за Станки бритвенные Gillette 2 одноразовые 5шт. по счету 39429279959583877729 от 2028-06-30 Сумма 4540,00	NON_FOOD_GOODS
7164	Оплата за Для мытья посуды по счету 50479103195932594306 от 05 июня 2027 Сумма 4340.00	NON_FOOD_GOODS
7165	ПРЕДОПЛАТА ПО ДОГ. №4-04145/23 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 3390000.00 в т.ч.НДС  565000.0	NON_FOOD_GOODS
7166	Оплата за Газета АНТЕННА мини А4 по счету 49137325648049747437 от 16 марта 2023 г. Сумма 2040,00	NON_FOOD_GOODS
7167	Возврат денежных средств по договору займа №Д01184 от 26 апреля 2024г. Без НДС	NON_FOOD_GOODS
7168	Оплата за Крем универсальный EVO Пантенол 46мл по счету 67001712721141349907 от 27.09.2025г. Сумма 2140-00	NON_FOOD_GOODS
7169	Оплата за Зубная паста Colgate защита от кариеса свежая мята 100мл по счету 67574478642633476768 от 07.08.2024г. Сумма 1650,00	NON_FOOD_GOODS
7170	Оплата за Ролик Econta для чистки одежды в ассортименте по счету 98341445587388941454 от 17 октября 2023г Сумма 2630,00	NON_FOOD_GOODS
7171	Приобретение недвижимости по адресу г. Белгород, Колхозный пер., д. 17 по договору №33-02356 от 03 октября 2023г	NON_FOOD_GOODS
7172	Оплата по счетам 0519,0520,0521 от 11.07.2025г. (за бетон марки М300)Сумма 46800,00 В т.ч. НДС 20% 7800,0	NON_FOOD_GOODS
7173	Оплата за Полотенца бумажные Tolli Plus 2 слоя по счету 58005833962291881919 от 29.06.2025 Сумма 1370-00	NON_FOOD_GOODS
7174	Предоплата за автозапчасти по счету 0661 от 18.06.2025г. года; Договор №44-03091 от 27.05.2025г.	NON_FOOD_GOODS
7175	Оплата за Кружка Liling Jingtao в ассортименте 340мл 1 шт. по счету 38371399576746789537 от 08/02/2023г. Сумма 3280.00	NON_FOOD_GOODS
7176	Оплата за Щетка-скребок K-Style для авто выдвижная 73см по счету 83782779887201890404 от 30/04/2028 Сумма 4420.00	NON_FOOD_GOODS
7177	За покупку авиабилетов г. Новочеркасск - г. Красногорск по договору №Д03941 от 18 ноярбя 2023г	NON_FOOD_GOODS
7178	Оплата за Салфетки Tolli plus влажные универсальные с антибактериальным эффектом 120шт по счету 02929574557815299396 от 10/09/2026 Сумма 3600,00	NON_FOOD_GOODS
7179	Оплата за Средство Grass Azelit Spray для стеклокерамики чистящее для кухни 600мл по счету 18850594530630587710 от 17 января 2027 Сумма 3990,00	NON_FOOD_GOODS
7180	Оплата за Для ухода за стиральной машиной по счету 47160548079021135444 от 24 сентября 2027 г. Сумма 1040-00	NON_FOOD_GOODS
7181	Оплата за Полотенце Econta 50х90см в ассортименте по счету 48943276499873245681 от 09.05.2024 г. Сумма 1710,00	NON_FOOD_GOODS
7182	Оплата за Пакеты для мусора Liberhaus сверхпрочные с завязками 10шт 60л по счету 85798239301036466567 от 11 августа 2026 Сумма 2700-00	NON_FOOD_GOODS
7183	Оплата за Арома-блок Доместос Арома люкс дуо Сказочный аромат для очищения унитаза 2х50г по счету 69441376309235056104 от 25 октября 2025 Сумма 3590.00	NON_FOOD_GOODS
7184	Оплата за Антистатик Лира 200мл по счету 96231569027920552325 от 22.05.2023г Сумма 2990,00	NON_FOOD_GOODS
7185	Оплата по счет-фактуре 0832,0833,0834 от 02.01.2028г за фитинги,метизы.Сумма 12000.00 В т.ч. НДС 20% 2000.0	NON_FOOD_GOODS
7186	Оплата за Драже Skittles Фруктовый вкус 38г по счету 01485996891041701796 от 22.06.2024 Сумма 3090,00	NON_FOOD_GOODS
7187	Оплата за Порошок чистящий Пемолюкс лимон 480г по счету 03773921771502118325 от 30 мая 2025г Сумма 1990,00	NON_FOOD_GOODS
7188	Оплата за Перец Kotanyi душистый горошком 15г по счету 47273191932060249338 от 22.10.2028 г. Сумма 3180.00	NON_FOOD_GOODS
7189	Оплата Дог №Д04065 от 10/08/2024г., согл. Сч 0294-27 от 22/09/2024 оплата за сброс загрязняющих веществ	NON_FOOD_GOODS
7190	Оплата за запчасти по договору поставки №73-01765Е от 17.01.2024 (ГБД 0013 АО Автодом Ауди по счету №0914	NON_FOOD_GOODS
7191	Оплата за Порошок стиральный Персил Color Свежесть от Vernel 3кг по счету 03684061600799940368 от 07.06.2024 Сумма 1710.00	NON_FOOD_GOODS
7192	Оплата за Порошок стиральный Ушастый нянь для детского белья 400г по счету 22573291193887033022 от 06/01/2023г. Сумма 2440-00	NON_FOOD_GOODS
7193	ПРЕДОПЛАТА ПО ДОГ. №320 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 3530000-00 в т.ч.НДС  588333-33	NON_FOOD_GOODS
7194	Оплата за насосы по договору №11-02135Д от 2028-09-21 (частичная оплата).Сумма 1300000-00В тч НДС(20%) 216666-66	NON_FOOD_GOODS
7195	Оплата за Полотенца бумажные Tolli Plus 2 слоя по счету 17171399965784716854 от 02 апреля 2027г Сумма 630,00	NON_FOOD_GOODS
7196	Оплата по счет-фактуре 0256,0257,0258 от 13.10.2024 г. за фитинги,метизы.Сумма 36700,00 В т.ч. НДС 20% 6116,66	NON_FOOD_GOODS
7197	Оплата за Корона Seasons диадема в ассортименте по счету 06509708411920681255 от 08 января 2027 г. Сумма 3480-00	NON_FOOD_GOODS
7198	Оплата минеральной питьевой воды по счету 73025946151076535047 от 11.06.2024г Сумма 2430,00 без учета НДС	NON_FOOD_GOODS
7199	Оплата за 500 штук новогодних шоколадных подарков по счету 0101 от 06 сентября 2025г .Сумма 43300,00 В т.ч. НДС 20% 7216,66	NON_FOOD_GOODS
7200	Оплата за Для ухода за стиральной машиной по счету 98188132289110139993 от 07 мая 2024 Сумма 4450.00	NON_FOOD_GOODS
7201	Предоплата за автозапчасти по счету 0572 от 09.09.2025 г. года; Договор №А00801/45 от 27.02.2023	NON_FOOD_GOODS
7202	"Оплата по договору №2-00167/73 от 21 декабря 2024 г., счету 0446 от 21 декабря 2024 г. за ""Дымовские колбасы"".Сумма 1460000.00 В т.ч. НДС 20% 243333.33"	NON_FOOD_GOODS
7203	Предоставление кредита по договору №А01441 от 02.01.2024г. (приобретение транспортного средства)	NON_FOOD_GOODS
7204	Оплата за Рожок для обуви Econta 20см в ассортименте по счету 67243896512913845004 от 01/04/2028г. Сумма 3580.00	NON_FOOD_GOODS
7205	Оплата за насосы по договору №2-04605/26 от 19/10/2023г. (частичная оплата).Сумма 2310000.00В тч НДС(20%) 385000.0	NON_FOOD_GOODS
7206	Оплата за Пеленки и подгузники по счету 77346424327782153149 от 06.02.2027 Сумма 4710.00	NON_FOOD_GOODS
7207	Оплата за Батарейки Liberhaus AAA, 4шт по счету 13935911354327316822 от 10 июня 2026 Сумма 1700.00	NON_FOOD_GOODS
7208	Оплата за Огурцы Global Village корнишоны соленые 500г по счету 71414054968674594621 от 25.05.2023 г. Сумма 1030-00	NON_FOOD_GOODS
7209	Оплата за Средство чистящее Бреф Сила-Актив для унитаза 3х50г по счету 87458392525791705936 от 2024.05.30 Сумма 3400,00	NON_FOOD_GOODS
7210	Оплата по счетам 0805,0806,0807 от 09.02.2025 (за бетон марки М300)Сумма 13800,00 В т.ч. НДС 20% 2300,0	NON_FOOD_GOODS
7211	Оплата аванса за ГСМ по счету А-0392 от 07 ноября 2024г к Договору №02856Б от 12.02.2024 г.. на сумму 4590000-00В т.ч. НДС(20%) 765000-00	NON_FOOD_GOODS
7212	Оплата по договору процентного займа (20%) №38А-00836 от 03 ноября 2024. Без НДС	NON_FOOD_GOODS
7213	Оплата по договору №Д00008/66 от 12.01.2027. сырье для пвадСумма 4890000,00В т.ч. НДС(20%) 815000,0	NON_FOOD_GOODS
7214	Оплата за Бумажные полотенца по счету 21138741936068947421 от 06.11.2024 Сумма 2480.00	NON_FOOD_GOODS
7215	Оплата по договору процентного займа №В00741 от 04 декабря 2024 г.. Без НДС	NON_FOOD_GOODS
7216	Оплата за Зубная паста Splat отбеливание плюс 100мл по счету 89943609544175215010 от 05 ноября 2027 г. Сумма 3350,00	NON_FOOD_GOODS
7217	Оплата за Ролик Econta для чистки одежды в ассортименте по счету 64606328927533499978 от 17 октября 2028г Сумма 4110,00	NON_FOOD_GOODS
7218	Оплата за Мыло хозяйственное по счету 24466401821103033649 от 30.03.2023 г. Сумма 890.00	NON_FOOD_GOODS
7219	Оплата за Средство Чистин Сочный Лимон универсальное для мытья полов 1000г по счету 72879156768302330805 от 01.10.2025г Сумма 2820,00	NON_FOOD_GOODS
7220	Оплата за Средство чистящее Econta для сливного бака таблетка по счету 35040128256867096333 от 19.05.2026г Сумма 3870.00	NON_FOOD_GOODS
7221	Оплата за Сумка-тележка на колесах 85х33х27.5см по счету 36559032527298340841 от 15.11.2026 г. Сумма 3180-00	NON_FOOD_GOODS
7222	Оплата за Губка для обуви Econta черная 25г по счету 83687091023793837252 от 10.01.2023 г. Сумма 3590-00	NON_FOOD_GOODS
7223	Оплата по дог.финансовой аренды №44-02768В от 07 августа 2023, акт приема-передачи 650 от 05.10.2024г.. В т.ч. НДС(20%) 111666,66	NON_FOOD_GOODS
7224	Оплата по счет-фактуре 0042,0043,0044 от 04/09/2024г. за фитинги,метизы.Сумма 20200.00 В т.ч. НДС 20% 3366.66	NON_FOOD_GOODS
7225	Оплата за Салфетки влажные универсальные 80шт. по счету 72412507795427447741 от 24.04.2024г. Сумма 2230-00	NON_FOOD_GOODS
7226	Оплата за Пластырь Honey Kid с рисунком в ассортименте 20шт по счету 00010578574652082265 от 21/08/2026 Сумма 3280,00	NON_FOOD_GOODS
7227	Оплата за Порошок стиральный Tide Color детский гипоаллергенный 2.4кг по счету 33685207664951342164 от 17 февраля 2028 г. Сумма 760,00	NON_FOOD_GOODS
7228	Оплата за Гель для стирки Ласка Эффект восстановления цветного 1л по счету 20936677747667125676 от 19.09.2027г. Сумма 1800-00	NON_FOOD_GOODS
7229	Счет на оплату № 0819 от 21 мая 2027гг.МКР для фильтрпресса. Сумма 10800-00В т.ч. НДС(20%) 1800-00	NON_FOOD_GOODS
7230	Оплата за Гель для стирки Ласка Эффект восстановления цветного 1л по счету 36574322550246692387 от 28 ноября 2026 г. Сумма 530,00	NON_FOOD_GOODS
7231	Оплата за запчасти по договору поставки 57.059449-ББ от 02 сентября 2024 г. (ГБД 0846 АО Автодом Ауди по счету №0377	NON_FOOD_GOODS
